Ammunition (category=military, cost=50, prestige=5)
Small Arms (category=military, cost=60, prestige=5)
Artillery (category=military, cost=70, prestige=5)
	Long-range bombardment with heavy munitions intimidates and scatters enemy forces without risking your own troops. Inaccurate, slow-moving, and expensive, yet a crucial ingredient in any modern army.
Tanks (category=military, cost=120, prestige=10)
Aeroplanes (category=military, cost=160, prestige=10)
Man-o-Wars (category=military, cost=70, prestige=5)
Ironclads (category=military, cost=80, prestige=10)
Grain (category=staple, cost=20, prestige=3)
Fish (category=staple, cost=20, prestige=3)
Fabric (category=staple, cost=20, prestige=3)
Wood (category=staple, cost=20, prestige=3)
Groceries (category=staple, cost=30, prestige=4)
Clothes (category=staple, cost=30, prestige=4)
Furniture (category=staple, cost=30, prestige=4)
Paper (category=staple, cost=30, prestige=4)
Services (category=staple, cost=30)
Personal Transportation (category=staple, cost=30, prestige=4)
Electricity (category=staple, cost=30)
Bulk Transportation (category=staple, cost=50, prestige=8)
Clippers (category=industrial, cost=60, prestige=4)
Steamers (category=industrial, cost=70, prestige=6)
Silk (category=industrial, cost=40, prestige=6)
Dye (category=industrial, cost=40, prestige=6)
Chemical and Industrial Minerals (category=industrial, cost=50, prestige=3)
Energy and Carbon Minerals (category=industrial, cost=30, prestige=3)
Structural Metals (category=industrial, cost=40, prestige=3)
Conductive and Base Metals (category=industrial, cost=40, prestige=3)
Hardwood (category=industrial, cost=40, prestige=4)
Rubber (category=industrial, cost=40, prestige=4)
Oil (category=industrial, cost=40, prestige=6)
Engines (category=industrial, cost=60, prestige=8)
Steel (category=industrial, cost=50, prestige=5)
Glass and Plastics (category=industrial, cost=40, prestige=5)
Chemicals (category=industrial, cost=30, prestige=3)
Tools (category=industrial, cost=40, prestige=5)
Explosives (category=industrial, cost=50, prestige=6)
Porcelain (category=luxury, cost=70, prestige=8)
Meat (category=luxury, cost=30, prestige=4)
Fruit (category=luxury, cost=30, prestige=4)
Liquor (category=luxury, cost=30, prestige=4)
Wine (category=luxury, cost=50, prestige=6)
Tea (category=luxury, cost=50, prestige=6)
Coffee (category=luxury, cost=50, prestige=6)
Sugar (category=luxury, cost=30, prestige=4)
Tobacco (category=luxury, cost=40, prestige=4)
Drugs (category=luxury, cost=50, prestige=2)
Automobiles (category=luxury, cost=100, prestige=10)
Wired Telecommunication Gear (category=luxury, cost=70, prestige=10)
	In theory we have known that the idea of the speaking telegraph could be possible, but we just weren't sure how. Advances in the field of electronics have made this idea finally possible and the telephone is born.
Wireless Telecommunication Gear (category=luxury, cost=80, prestige=10)
Luxury Clothes (category=luxury, cost=60, prestige=8)
Luxury Furniture (category=luxury, cost=60, prestige=8)
Gold (category=luxury, cost=100, prestige=5)
Art and Entertainment (category=luxury, cost=200, prestige=10)
Consumer Appliances (category=luxury, cost=80, prestige=10)
Electronic Components (category=industrial, cost=80, prestige=10)
Industrial Robotics (category=industrial, cost=80, prestige=10)
	Industrial robots have transformed our factories. They can perform complex tasks with incredible precision and efficiency, making our production lines safer and more productive.
Software (category=luxury, cost=100, prestige=10)
Digital Access (category=luxury, cost=120, prestige=10)
Launch Capacity (category=industrial, cost=200, prestige=20)
Advanced Materials (category=industrial, cost=4000, prestige=20)
Construction Services (category=industrial, cost=1000, prestige=5)
Tourism (category=luxury, cost=100, prestige=10)
Tech-Critical Metals (category=industrial, cost=80, prestige=20)
Motor Ships (category=industrial, cost=90, prestige=8)
	Diesel- and turbine-powered oceangoing vessels — supertankers, container ships, and modern liners that displaced coal-fired steamers in the post-war era.
Magnetic Drive Ships (category=industrial, cost=130, prestige=12)
	Vessels propelled by magnetohydrodynamic drives — superconducting magnets accelerate seawater through electromagnetic conduits, eliminating propellers and bearings entirely. The exotic apex of civilian shipbuilding.
